subject_id,condition,videos_started,videos_stopped,vigilance_time_sec,vigilance_time_min,flagged_inattentive
sub33,AB,1536.0812238999931,1567.3819532999914,31.300729399998318,0.5216788233333053,False
sub34,AB,1495.2947926999914,1534.7312084000005,39.43641570000909,0.6572735950001516,False
sub35,AB,1559.9434992000024,1602.2455220999982,42.30202289999579,0.7050337149999298,False
sub36,AB,1634.671194999988,1681.5257090999949,46.85451410000678,0.7809085683334464,False
sub37,AB,1520.956551899988,1540.4280602999934,19.471508400005405,0.3245251400000901,False
sub38,AB,1516.7813842999894,1553.648549199992,36.867164900002535,0.6144527483333756,False
sub39,AB,1537.3096833000018,1561.7117681999953,24.402084899993497,0.4067014149998916,False
sub40,AB,1529.477642400001,1569.27938800001,39.80174560000887,0.6633624266668146,False
sub44,NB,1517.9051426000078,1538.243437099998,20.33829449999007,0.3389715749998345,False
sub45,NB,1532.9143715999962,1553.2183858999924,20.304014299996197,0.33840023833326993,False
sub46,NB,1490.0261310999922,1534.930743600009,44.90461250001681,0.7484102083336135,False
sub47,NB,1517.157824600028,1550.4251906000136,33.267365999985486,0.5544560999997581,False
sub48,NB,1560.3800431000127,1592.0149409000005,31.63489779998781,0.5272482966664636,False
sub49,NB,1562.1782781000074,1564.3525243000186,2.174246200011112,0.03623743666685186,False
sub50,NB,1496.6906185999978,1533.3941022999934,36.70348369999556,0.6117247283332593,False
sub51,NB,1581.3919204999693,1586.678071299917,5.286150799947791,0.08810251333246318,False
sub52,NB,1541.3794566999422,1573.316330499947,31.936873800004832,0.5322812300000805,False
sub53,NB,1569.3715612000087,1602.8437447999604,33.47218359995168,0.5578697266658613,False
sub54,NB,1534.6814125999808,1566.3496899000602,31.668277300079353,0.5278046216679892,False
sub55,NB,1505.3933344999095,1540.7273342999397,35.33399980003014,0.5888999966671691,False
sub56,NB,1569.5309579999885,1589.868600500049,20.33764250006061,0.3389607083343435,False
sub57,NB,1552.2530053999508,1553.2606679999735,1.0076626000227407,0.01679437666704568,False
sub58,NB,1563.8379838999826,1567.13146840001,3.2934845000272617,0.054891408333787695,False
sub59,NB,1528.7124508999989,1553.8163781000767,25.103927200077806,0.41839878666796343,False
sub60,NB,1561.735924000037,1563.481396600022,1.745472599985078,0.0290912099997513,False
sub61,NB,1544.2824418000018,1545.9145266999983,1.632084899996471,0.027201414999941182,False
sub62,NB,1544.8662915999955,1547.0991049000004,2.2328133000048638,0.03721355500008106,False
sub63,NB,1514.172360800003,1549.5083989999985,35.33603819999553,0.5889339699999254,False
sub64,NB,1573.949110900001,1599.2168996000037,25.26778870000271,0.4211298116667119,False
sub65,NB,1523.4209787,1555.0896733000045,31.668694600004528,0.5278115766667422,False
sub66,NB,1564.5380039000083,1590.4747867000042,25.936782799995854,0.4322797133332642,False
sub67,NB,1501.0808992999955,1551.6491682999913,50.56826899999578,0.842804483333263,False
sub68,NB,1513.6092923999968,1545.2427364999894,31.63344409999263,0.5272240683332104,False
sub69,NB,1617.719012600006,1654.9573485,37.23833589999413,0.6206389316665688,False
sub70,NB,1571.3746701999917,1598.2094212999946,26.834751100002904,0.4472458516667151,False
sub71,NB,1506.7472740000085,1555.2488928000091,48.50161880000064,0.808360313333344,False
sub72,NB,1524.6741698999977,1564.445169700004,39.77099980000639,0.6628499966667732,False
