subject_id,condition,movie_id,target_type,accuracy,rt,log_rt,confidence,condition_enc,target_type_enc,rt_zscore,rt_norm,confidence_norm
sub21,NB,39.0,BB,1,10.375298599999951,2.3394278464254916,5,1,0,1.3872546358789841,0.3411959815704341,1.0
sub21,NB,3.0,BB,1,13.2479558,2.5838432612846813,4,1,0,2.2251575546520646,0.4382419120663407,0.75
sub21,NB,33.0,BB,1,6.950556100000085,1.9388216707642218,4,1,0,0.3883182724326057,0.22549915473660287,0.75
sub21,NB,5.0,EM,1,8.047120699999596,2.0853143504301066,3,1,1,0.7081666271067414,0.26254399668844536,0.5
sub21,NB,6.0,BB,1,10.831574799999999,2.3824654613374197,5,1,0,1.5203422732576184,0.35661019402576655,1.0
sub21,NB,4.0,EM,1,9.798810900000262,2.2822610415799622,4,1,1,1.2191034459400971,0.3217207078531546,0.75
sub21,NB,2.0,BB,1,6.287705800000367,1.8385962665005864,4,1,0,0.19497665092643832,0.20310632480097313,0.75
sub21,NB,8.0,BB,1,8.91693320000013,2.1879520758159607,3,1,0,0.9618754345954128,0.2919285551451666,0.5
sub21,NB,14.0,BB,1,6.56244820000029,1.8813637345533005,5,1,0,0.2751141135066072,0.21238784709840236,1.0
sub21,NB,16.0,EM,1,8.861248799999885,2.181687702765993,4,1,1,0.9456332873282998,0.29004738936871055,0.75
sub21,NB,1.0,EM,1,6.63270539999985,1.892012775264877,5,1,1,0.29560688686795855,0.2147613204623645,1.0
sub21,NB,37.0,BB,1,4.5860867999999755,1.5230271114262375,5,1,0,-0.30135529106094344,0.14562115072432058,1.0
sub21,NB,38.0,EM,1,9.603836400000091,2.262162643644997,4,1,1,1.1622328584448463,0.3151339554291305,0.75
sub21,NB,27.0,BB,0,9.453267300000334,2.2463604277810467,2,1,0,1.1183145348917156,0.3100473344381513,0.25
sub21,NB,35.0,EM,1,6.107800999999654,1.8095668066029236,5,1,1,0.14250162640145064,0.1970286665559347,1.0
sub21,NB,7.0,EM,1,5.205740999999762,1.649762055046612,5,1,1,-0.12061320223467825,0.16655470256777577,1.0
sub21,NB,15.0,BB,1,5.8478109000002405,1.7660673860833906,3,1,0,0.06666714686744644,0.18824551582908627,0.5
sub21,NB,28.0,EM,1,5.349000100000012,1.6769096462441984,5,1,1,-0.07882707542810616,0.17139437249481415,1.0
sub21,NB,25.0,BB,1,9.077305899999828,2.20577744153848,3,1,0,1.0086532935829955,0.2973463675794561,0.5
sub21,NB,40.0,EM,0,8.816867900000034,2.176666693572332,3,1,1,0.9326881695997902,0.28854808561024914,0.5
sub21,NB,34.0,BB,1,8.008936200000335,2.080557943271651,3,1,0,0.6970288888477975,0.2612540236513043,0.5
sub21,NB,32.0,EM,1,3.27102960000002,1.185104797735731,5,1,1,-0.6849340439429438,0.10119505295347102,1.0
sub21,NB,30.0,EM,0,5.025389900000391,1.6145030429749117,4,1,1,-0.17321840451687387,0.1604619671326536,0.75
sub21,NB,31.0,EM,1,3.7038923999998588,1.3093842666859188,5,1,1,-0.5586756781525016,0.11581829905573728,1.0
sub21,NB,19.0,BB,1,7.208732200000213,1.975293096723034,3,1,0,0.46362364048959287,0.23422102376306247,0.5
sub21,NB,21.0,BB,1,6.3030650999999125,1.8410360388926619,5,1,0,0.19945668505648706,0.20362520243114135,1.0
sub21,NB,9.0,EM,1,5.264026299999841,1.6608961902111128,5,1,1,-0.10361241878177252,0.16852373360034756,1.0
sub21,NB,20.0,EM,1,5.135503399999834,1.6361778716816926,5,1,1,-0.14110025862537967,0.16418189134345285,1.0
sub21,NB,26.0,EM,0,4.951298299999962,1.5996498250187463,3,1,1,-0.19482960403518954,0.1579589576319126,0.5
sub21,NB,18.0,EM,1,3.5147828000003756,1.2569777310348766,2,1,1,-0.6138355788213229,0.10942967840943872,0.25
sub21,NB,10.0,BB,0,5.3478228999997555,1.676689543508085,1,1,0,-0.0791704436922327,0.17135460357654408,0.0
sub21,NB,36.0,BB,1,8.881466299999829,2.1839666672464872,4,1,0,0.9515303718325865,0.29073038979764987,0.75
sub21,NB,22.0,EM,1,3.829456100000243,1.342722782664316,5,1,1,-0.522050984220254,0.1200601717382996,1.0
sub21,NB,23.0,EM,1,6.559211900000264,1.8808704585438651,3,1,1,0.2741701424626389,0.21227851635581796,0.5
sub21,NB,29.0,BB,1,4.237872400000015,1.4440613508510747,3,1,0,-0.4029232268796618,0.13385755064698823,0.5
sub21,NB,24.0,BB,1,9.710583500000212,2.2732163731857127,2,1,0,1.1933690854407653,0.31874015377651804,0.25
sub21,NB,13.0,BB,1,5.491494200000034,1.7032003860679827,2,1,0,-0.03726408549044168,0.1762081987058492,0.25
sub21,NB,11.0,EM,1,2.674359600000116,0.9837099498176525,5,1,1,-0.8589720511734078,0.08103796795600517,1.0
sub22,NB,28.0,EM,1,5.282363499999519,1.6643736301362633,5,1,1,-0.09826378428342178,0.16914321254014525,1.0
sub22,NB,5.0,EM,0,12.63505720000012,2.5364752679371616,3,1,1,2.0463859539710554,0.417536582193836,0.5
sub22,NB,2.0,BB,1,3.621513500000219,1.2868920323834818,5,1,0,-0.5827041354132609,0.11303532272159825,1.0
sub22,NB,31.0,EM,1,3.9574635999997554,1.375603315004832,5,1,1,-0.48471347737313186,0.12438460242495002,1.0
sub22,NB,4.0,EM,1,8.90862130000005,2.1870194932584317,5,1,1,0.9594510014710507,0.29164775725891107,1.0
sub22,NB,13.0,BB,1,3.611562199999753,1.2841404211210117,5,1,0,-0.5856067523060727,0.11269914158303805,1.0
sub22,NB,3.0,BB,0,11.980660299999727,2.4832937080298376,5,1,0,1.855510038617711,0.3954293303873295,1.0
sub22,NB,14.0,BB,1,4.257196399999884,1.4486108215581344,4,1,0,-0.3972867604045594,0.13451036629129487,0.75
sub22,NB,1.0,EM,1,12.762282599999708,2.5464941490655586,4,1,1,2.0834953361840554,0.42183459148142993,0.75
sub22,NB,34.0,BB,1,7.542546699999548,2.020559883612892,3,1,0,0.5609913820628701,0.2454981572704858,0.5
sub22,NB,32.0,EM,1,2.9746495999997933,1.0901262505481315,5,1,1,-0.7713828088934401,0.09118255550671743,1.0
sub22,NB,10.0,BB,1,5.123476499999924,1.6338332125387969,3,1,0,-0.14460829105393266,0.16377559096710703,0.5
sub22,NB,23.0,EM,1,10.433982100000321,2.345067989053428,1,1,1,1.4043715671766444,0.34317846484838754,0.0
sub22,NB,25.0,BB,1,11.875337899999977,2.4744638042527165,5,1,0,1.824789371225871,0.3918712621604497,1.0
sub22,NB,37.0,BB,1,3.2795685999999478,1.1877118893557015,5,1,0,-0.6824433697952095,0.10148352287619536,1.0
sub22,NB,30.0,EM,1,5.846728500000609,1.7658822740467897,3,1,1,0.0663514300743075,0.18820894950466266,0.5
sub22,NB,24.0,BB,1,4.050705999999991,1.398891186913962,5,1,0,-0.4575163307335665,0.1275345764175636,1.0
sub22,NB,38.0,EM,1,6.280529300000126,1.8374542603679682,5,1,1,0.19288339375089464,0.20286388371881847,1.0
sub22,NB,7.0,EM,1,4.761006200000338,1.5604590324590317,5,1,1,-0.2503344188836654,0.15153038901938087,1.0
sub22,NB,21.0,BB,1,6.499370900000031,1.8717053876022784,5,1,0,0.2567155890399421,0.21025692967752302,1.0
sub22,NB,20.0,EM,1,3.3100228999992396,1.1969551077938125,5,1,1,-0.6735603931356215,0.10251234938603186,1.0
sub22,NB,36.0,BB,1,4.931706899999881,1.5956851553123026,5,1,0,-0.20054406632568444,0.15729710851092266,1.0
sub22,NB,6.0,BB,1,2.9858070999998745,1.0938700955566483,5,1,0,-0.7681283649534258,0.09155948525994936,1.0
sub22,NB,8.0,BB,1,3.619562099999712,1.2863530516696917,5,1,0,-0.5832733240223714,0.11296939928707952,1.0
sub22,NB,35.0,EM,1,6.372571099999732,1.8520030145224438,3,1,1,0.21973034676317776,0.20597329827948369,0.5
sub22,NB,18.0,EM,1,4.318066600000748,1.4628077557811612,3,1,1,-0.3795320076804879,0.13656672205784987,0.5
sub22,NB,16.0,EM,1,8.123642999999902,2.094778698882551,5,1,1,0.7304868185035724,0.26512912164077745,1.0
sub22,NB,40.0,EM,1,5.129465500000151,1.6350014627213065,3,1,1,-0.1428614064689143,0.16397791516985633,0.5
sub22,NB,33.0,BB,1,6.6889070999995965,1.9004504975661516,1,1,0,0.31199992132741167,0.21665996199603832,0.0
sub22,NB,27.0,BB,1,5.708442899999682,1.7419462894565019,4,1,0,0.02601598459718567,0.18353729751420783,0.75
sub22,NB,22.0,EM,1,3.923970800000461,1.3671041002892064,5,1,1,-0.4944827303411822,0.12325312737778991,1.0
sub22,NB,26.0,EM,1,3.91632699999991,1.3651542247570883,5,1,1,-0.4967122906002271,0.1229948996701546,1.0
sub22,NB,17.0,BB,1,3.2015658999998777,1.1636400338660344,5,1,0,-0.7051953674934515,0.09884838611059042,1.0
sub22,NB,15.0,BB,1,5.7342570000000705,1.746458186826512,5,1,0,0.03354549759853705,0.1844093658398166,1.0
sub22,NB,29.0,BB,1,7.733175499999561,2.045519580313063,5,1,0,0.6165944063019677,0.2519381004963322,1.0
