subject_id,condition,mean_accuracy,mean_rt,median_rt,mean_conf,n_trials,REC,LDI_BB,LDI_EM
sub49,NB,0.9,5.829123224999057,5.082711249997374,3.7,40,0.8,0.8,0.8
sub50,NB,0.8717948717948718,7.843435543592279,6.139233099995181,4.3076923076923075,39,0.7435897435897436,1.0,0.5
sub51,NB,0.85,6.114636632491601,5.65375125000719,4.55,40,0.7,0.7,0.7
sub52,NB,0.9,4.939929319990915,4.255327049992047,4.275,40,0.8,0.8,0.8
sub53,NB,0.95,5.944745974993566,5.502114999981131,4.475,40,0.8999999999999999,0.8999999999999999,0.8999999999999999
sub54,NB,0.875,5.336215665008058,4.57999080006266,4.35,40,0.75,0.7,0.8
sub55,NB,0.9,5.814105174996075,4.161248899996281,4.9,40,0.8,0.7,0.8999999999999999
sub56,NB,0.825,9.121602259995417,7.581836249970365,4.425,40,0.6499999999999999,0.7,0.6000000000000001
sub57,NB,0.85,5.5575203750049695,4.709170999994967,4.775,40,0.7,0.6000000000000001,0.8
sub58,NB,0.85,9.875410099991132,8.916273149952758,4.075,40,0.7,0.8,0.6000000000000001
sub59,NB,0.825,9.179609309995431,7.249200199963525,3.35,40,0.6499999999999999,0.6000000000000001,0.7
sub60,NB,0.9,6.717097315008869,5.707109200011473,4.575,40,0.8,0.8,0.8
sub61,NB,0.825,6.8648409324998285,5.8524803500004055,3.825,40,0.6499999999999999,0.6000000000000001,0.7
sub62,NB,0.95,4.9480228299999,4.415371150000283,4.675,40,0.8999999999999999,0.8999999999999999,0.8999999999999999
sub63,NB,0.875,4.736996929999987,3.9555466000019806,3.5,40,0.75,0.6000000000000001,0.8999999999999999
sub64,NB,0.975,7.0455133599991315,5.439228249997541,3.55,40,0.95,1.0,0.8999999999999999
sub65,NB,0.9,5.404336509999121,4.925883949996205,4.35,40,0.8,0.8,0.8
sub66,NB,0.7567567567567568,10.451308854055242,7.303544399997918,3.4864864864864864,37,0.5135135135135136,0.5789473684210527,0.4444444444444444
sub67,NB,0.825,8.133502757499446,5.211314300002414,4.225,40,0.6499999999999999,0.3999999999999999,0.8999999999999999
sub68,NB,0.95,5.102304485000786,3.8367656499976874,4.775,40,0.8999999999999999,0.8999999999999999,0.8999999999999999
sub69,NB,0.8,4.48992186000105,3.936039450003591,3.9,40,0.6000000000000001,0.6000000000000001,0.6000000000000001
sub70,NB,0.9,4.63613785499947,3.749532450005063,3.7,40,0.8,0.7,0.8999999999999999
sub71,NB,0.9,4.148620717499943,3.9126633499981835,4.625,40,0.8,0.8999999999999999,0.7
sub72,NB,0.925,5.931091035001009,4.514770649999264,3.75,40,0.8500000000000001,0.8,0.8999999999999999
sub73,NB,0.9,7.956583084999875,6.453305449998879,4.075,40,0.8,0.7,0.8999999999999999
sub74,NB,0.975,5.044551855001191,4.519240849993366,4.625,40,0.95,1.0,0.8999999999999999
sub75,NB,0.825,6.3766200375008335,5.6337471999941044,3.75,40,0.6499999999999999,0.8,0.5
sub76,NB,0.9,5.6627930075024775,4.107245150022209,4.125,40,0.8,0.8999999999999999,0.7
sub77,NB,0.725,4.972529069998563,4.595590050012106,3.675,40,0.44999999999999996,0.19999999999999996,0.7
sub78,NB,0.95,4.984837389999302,4.117060100019444,4.675,40,0.8999999999999999,0.8999999999999999,0.8999999999999999
sub79,NB,0.725,5.267965545001789,4.608140700001968,3.95,40,0.44999999999999996,0.30000000000000004,0.6000000000000001
sub80,NB,0.875,5.758909239999047,4.702294900009292,4.7,40,0.75,0.8,0.7
sub81,NB,0.875,5.656645187498361,4.884087650003494,3.6,40,0.75,0.6000000000000001,0.8999999999999999
sub82,NB,0.875,5.814412162503868,5.47515784999996,4.05,40,0.75,0.6000000000000001,0.8999999999999999
sub83,NB,0.95,4.7477389700026835,4.043065300007584,4.4,40,0.8999999999999999,0.8,1.0
sub84,NB,0.825,4.8335976275004215,4.732415599981323,4.325,40,0.6499999999999999,0.7,0.6000000000000001
sub85,NB,0.875,6.88589992750276,5.757845200001611,4.675,40,0.75,0.7,0.8
sub86,NB,0.85,6.261664452496916,6.0066498999949545,4.175,40,0.7,0.6000000000000001,0.8
sub87,NB,0.825,4.027721002502221,3.5373053000075743,3.55,40,0.6499999999999999,0.3999999999999999,0.8999999999999999
sub88,AB,0.875,5.498051344999112,4.718349849994411,4.3,40,0.75,0.8,0.7
sub89,AB,0.825,7.6028700299997585,5.55737814999884,3.725,40,0.6499999999999999,0.7,0.6000000000000001
sub90,AB,0.975,4.950023740000324,3.853597549998085,4.7,40,0.95,1.0,0.8999999999999999
sub91,AB,0.975,6.220674327498273,5.001902299991343,4.775,40,0.95,1.0,0.8999999999999999
sub92,AB,0.9,4.85162034999812,4.331629550011712,4.1,40,0.8,1.0,0.6000000000000001
sub93,AB,0.9,5.0399133025021,4.0541381999937585,4.625,40,0.8,0.8999999999999999,0.7
sub94,AB,0.675,4.408705537502828,3.842298050003592,3.625,40,0.3500000000000001,0.10000000000000009,0.6000000000000001
sub95,AB,0.85,5.188012942498608,4.508807649981463,3.375,40,0.7,0.8,0.6000000000000001
sub96,AB,0.775,5.998426357501012,4.523712399997748,3.6,40,0.55,0.7,0.3999999999999999
sub97,AB,0.85,5.771542477502953,5.227629300003173,3.575,40,0.7,0.7,0.7
sub98,AB,0.75,3.3990168424948934,3.0969144999980927,4.4,40,0.5,0.3999999999999999,0.6000000000000001
sub99,AB,0.825,8.831371195000248,8.494204349990468,4.075,40,0.6499999999999999,0.6000000000000001,0.7
